"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 16:56:23 CST 2023","Fri Jul 21 16:57:01 CST 2023","37700","TestCase.hms","test_alarm","","","","testCellUnavailableAlarmReportAndRecovery",""
"passed","Fri Jul 21 17:05:15 CST 2023","Fri Jul 21 17:07:13 CST 2023","118373","TestCase.hms","test_alarm","","","","testGnbCpuUsageHighAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:57:01 CST 2023","Fri Jul 21 16:57:29 CST 2023","27904","TestCase.hms","test_alarm","","","","testNgFaultAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:47:19 CST 2023","Fri Jul 21 16:49:32 CST 2023","133336","TestCase.hms","test_alarm","","","","testRebootWifi",""
"passed","Fri Jul 21 16:44:21 CST 2023","Fri Jul 21 16:46:06 CST 2023","104964","TestCase.hms","test_alarm","","","","testWifiCellDownAlarmReportAndRecovery",""
"broken","Fri Jul 21 16:52:56 CST 2023","Fri Jul 21 16:55:13 CST 2023","136643","TestCase.hms","test_alarm","","","","testSctpAlarmReportAndRecovery",""
"passed","Fri Jul 21 17:02:16 CST 2023","Fri Jul 21 17:03:15 CST 2023","59536","TestCase.hms","test_alarm","","","","testGnbHighVoltAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:46:06 CST 2023","Fri Jul 21 16:47:19 CST 2023","73127","TestCase.hms","test_alarm","","","","testWifiCellDownAndDfsAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:55:44 CST 2023","Fri Jul 21 16:56:23 CST 2023","38765","TestCase.hms","test_alarm","","","","testGnbOutOfServiceAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:55:13 CST 2023","Fri Jul 21 16:55:44 CST 2023","31543","TestCase.hms","test_alarm","","","","testDuCellBlockAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:44:21 CST 2023","Fri Jul 21 16:44:21 CST 2023","154","TestCase.hms","test_alarm","","","","testQueryActiveAlarm",""
"passed","Fri Jul 21 17:00:23 CST 2023","Fri Jul 21 17:01:12 CST 2023","48821","TestCase.hms","test_alarm","","","","testGnbTemperatureHighAlarmReportAndRecovery",""
"passed","Fri Jul 21 16:49:32 CST 2023","Fri Jul 21 16:52:56 CST 2023","203373","TestCase.hms","test_alarm","","","","testRebootGnbAndCheckWifi",""
"passed","Fri Jul 21 17:03:15 CST 2023","Fri Jul 21 17:05:15 CST 2023","119449","TestCase.hms","test_alarm","","","","testGnbMemoryUsageHighAlarmReportAndRecovery",""
"passed","Fri Jul 21 17:01:12 CST 2023","Fri Jul 21 17:02:16 CST 2023","63983","TestCase.hms","test_alarm","","","","testGnbLowVoltAlarmReportAndRecovery",""
"failed","Fri Jul 21 16:57:29 CST 2023","Fri Jul 21 17:00:23 CST 2023","174058","TestCase.hms","test_alarm","","","","testSshLoginAlarmReportAndRecovery",""
